Date,Close/Last,Open,High,Low
10/08/2024,5751.13,5719.14,5757.60,5714.56
10/07/2024,5695.94,5737.80,5739.34,5686.85
10/04/2024,5751.07,5737.48,5753.21,5702.83
10/03/2024,5699.94,5698.19,5718.78,5677.37
10/02/2024,5709.54,5698.14,5719.63,5674.00
10/01/2024,5708.75,5757.73,5757.73,5681.28
09/30/2024,5762.48,5726.52,5765.14,5703.53
09/27/2024,5738.17,5755.36,5763.78,5727.34
09/26/2024,5745.37,5762.22,5767.37,5721.01
09/25/2024,5722.26,5733.65,5741.03,5712.06
09/24/2024,5732.93,5727.66,5735.32,5698.99
09/23/2024,5718.57,5711.90,5725.36,5704.22
09/20/2024,5702.55,5709.64,5715.14,5674.49
09/19/2024,5713.64,5702.63,5733.57,5686.42
09/18/2024,5618.26,5641.68,5689.75,5615.08
09/17/2024,5634.58,5655.51,5670.81,5614.05
09/16/2024,5633.09,5615.21,5636.05,5604.53
09/13/2024,5626.02,5603.34,5636.27,5601.65
09/12/2024,5595.76,5557.48,5600.71,5535.50
09/11/2024,5554.13,5496.42,5560.41,5406.96
09/10/2024,5495.52,5490.51,5497.91,5441.72
09/09/2024,5471.05,5442.07,5484.20,5434.49
